Year	Population	GDP	Health	Life Expectancy
1960	180671	2828.5	198.2	69.7
1961	183691	2894.4	209.6	70.2
1962	186538	3069.8	226.4	70.1
1963	189242	3204	243.1	69.9
1964	191889	3389.4	266.7	70.2
1965	194303	3607	285.6	70.2
1966	196560	3842.1	305.9	70.2
1967	198712	3939.2	332.3	70.5
1968	200706	4129.9	361.9	70.2
1969	202677	4258.2	386.8	70.5
1970	205052	4266.3	413.7	70.8
1971	207661	4409.5	440.7	71.1
1972	209896	4643.8	477.8	71.2
1973	211909	4912.8	499.1	71.4
1974	213854	4885.7	509.6	72
1975	215973	4875.4	532.4	72.6
1976	218035	5136.9	576.7	72.9
1977	220239	5373.1	615.6	73.3
1978	222585	5672.8	643	73.5
1979	225055	5850.1	654.8	73.9
1980	227726	5834	665.7	73.7
1981	229966	5982.1	700.1	74.1
1982	232188	5865.9	743.9	74.5
1983	234307	6130.9	794.5	74.6
1984	236348	6571.5	838.9	74.7
1985	238466	6843.4	886.1	74.7
1986	240651	7080.5	933.1	74.7
1987	242804	7307	980	74.9
1988	245021	7607.4	1054.6	74.9
1989	247342	7879.2	1119.7	75.1
1990	250132	8027.1	1118.4	75.4
1991	253493	8008.3	1246.3	75.5
1992	256894	8280	1311.5	75.8
1993	260255	8516.2	1367.8	75.5
1994	263436	8863.1	1407.8	75.7
1995	266557	9086	1446.2	75.8
1996	269667	9425.8	1478.9	76.1
1997	272912	9845.9	1527	76.5
1998	276115	10274.7	1590.7	76.7
1999	279295	10770.7	1657.1	76.7
2000	282385	11216.4	1716.8	76.8
2001	285309	11337.5	1811.4	76.9
2002	288105	11543.1	1952.2	76.9
2003	290820	11836.4	2066.3	77.1
2004	293463	12246.9	2151.8	77.5
2005	296186	12623	2220.1	77.4
2006	298996	12958.5	2290.2	77.7
2007	302004	13206.4	2362.7	77.9
2008	304798	13161.9	2382.9	78.1
2009	307439	12757.9	2486.3	78.2
