Year	Population	GDP	Health	Life Expectancy
1960	180.671	2,828.5	198.2	69.7
1961	183.691	2,894.4	209.6	70.2
1962	186.538	3,069.8	226.4	70.1
1963	189.242	3,204	243.1	69.9
1964	191.889	3,389.4	266.7	70.2
1965	194.303	3,607	285.6	70.2
1966	196.560	3,842.1	305.9	70.2
1967	198.712	3,939.2	332.3	70.5
1968	200.706	4,129.9	361.9	70.2
1969	202.677	4,258.2	386.8	70.5
1970	205.052	4,266.3	413.7	70.8
1971	207.661	4,409.5	440.7	71.1
1972	209.896	4,643.8	477.8	71.2
1973	211.909	4,912.8	499.1	71.4
1974	213.854	4,885.7	509.6	72
1975	215.973	4,875.4	532.4	72.6
1976	218.035	5,136.9	576.7	72.9
1977	220.239	5,373.1	615.6	73.3
1978	222.585	5,672.8	643.0	73.5
1979	225.055	5,850.1	654.8	73.9
1980	227.726	5,834	665.7	73.7
1981	229.966	5,982.1	700.1	74.1
1982	232.188	5,865.9	743.9	74.5
1983	234.307	6,130.9	794.5	74.6
1984	236.348	6,571.5	838.9	74.7
1985	238.466	6,843.4	886.1	74.7
1986	240.651	7,080.5	933.1	74.7
1987	242.804	7,307	980.0	74.9
1988	245.021	7,607.4	1,054.6	74.9
1989	247.342	7,879.2	1,119.7	75.1
1990	250.132	8,027.1	1,118.4	75.4
1991	253.493	8,008.3	1,246.3	75.5
1992	256.894	8,280	1,311.5	75.8
1993	260.255	8,516.2	1,367.8	75.5
1994	263.436	8,863.1	1,407.8	75.7
1995	266.557	9,086	1,446.2	75.8
1996	269.667	9,425.8	1,478.9	76.1
1997	272.912	9,845.9	1,527.0	76.5
1998	276.115	10,274.7	1,590.7	76.7
1999	279.295	10,770.7	1,657.1	76.7
2000	282.385	11,216.4	1,716.8	76.8
2001	285.309	11,337.5	1,811.4	76.9
2002	288.105	11,543.1	1,952.2	76.9
2003	290.820	11,836.4	2,066.3	77.1
2004	293.463	12,246.9	2,151.8	77.5
2005	296.186	12,623	2,220.1	77.4
2006	298.996	12,958.5	2,290.2	77.7
2007	302.004	13,206.4	2,362.7	77.9
2008	304.798	13,161.9	2,382.9	78.1
2009	307.439	12,757.9	2,486.3	78.2
